baseAsset,maxMarketOrderQty,minMarketOrderQty,minOrderValue,minTickSize,minTradeAmount,quoteAsset
BTG,8000,,0.01,0.000001,0.01,ETH
EVX,2424900,,0.0001,0.00000001,1,BTC
EVX,196100,,0.01,0.0000001,1,ETH
REQ,17712100,,0.0001,0.00000001,1,BTC
REQ,18357800,,0.01,0.00000001,1,ETH
VIB,9370400,,0.0001,0.00000001,1,BTC
VIB,2852000,,0.01,0.00000001,1,ETH
TRX,177000000,,0.0001,0.00000001,1,BTC
TRX,60203600,,0.01,0.00000001,1,ETH
POWR,4829000,,0.0001,0.00000001,1,BTC
POWR,1218300,,0.01,0.00000001,1,ETH
ARK,1608500,,0.0001,0.00000001,1,BTC
ARK,171500,,0.01,0.000001,0.01,ETH
YOYO,7287900,,0.01,0.00000001,1,ETH
XRP,42853300,,0.0001,0.00000001,1,BTC
XRP,4202500,,0.01,0.00000001,1,ETH
ENJ,19300900,,0.0001,0.00000001,1,BTC
ENJ,3616900,,0.01,0.00000001,1,ETH
STORJ,3562900,,0.0001,0.00000001,1,BTC
STORJ,294100,,0.01,0.0000001,1,ETH
BNB,393000,,10,0.0001,0.01,USDT
YOYO,915300,,0.1,0.000001,1,BNB
POWR,420100,,0.1,0.00001,0.1,BNB
KMD,1014400,,0.0001,0.0000001,0.01,BTC
KMD,70200,,0.01,0.000001,0.01,ETH
NULS,94800,,0.1,0.00001,0.1,BNB
RCN,14574700,,0.0001,0.00000001,1,BTC
RCN,3707200,,0.01,0.00000001,1,ETH
RCN,1674200,,0.1,0.000001,1,BNB
NULS,962300,,0.0001,0.00000001,1,BTC
NULS,124200,,0.01,0.00000001,1,ETH
RDN,2625600,,0.0001,0.00000001,1,BTC
RDN,1288500,,0.01,0.0000001,1,ETH
RDN,87100,,0.1,0.00001,0.1,BNB
XMR,41700,,0.0001,0.000001,0.001,BTC
XMR,4700,,0.01,0.00001,0.001,ETH
DLT,718800,,0.1,0.000001,1,BNB
WTC,38400,,0.1,0.00001,0.1,BNB
DLT,10422400,,0.0001,0.00000001,1,BTC
DLT,2510300,,0.01,0.00000001,1,ETH
AMB,16127800,,0.0001,0.00000001,1,BTC
AMB,4658100,,0.01,0.00000001,1,ETH
AMB,668000,,0.1,0.000001,1,BNB
BAT,6664500,,0.0001,0.00000001,1,BTC
BAT,1040500,,0.01,0.00000001,1,ETH
BAT,754800,,0.1,0.00001,0.1,BNB
BCPT,15465800,,0.0001,0.00000001,1,BTC
BCPT,2395500,,0.01,0.00000001,1,ETH
BCPT,914300,,0.1,0.000001,1,BNB
ARN,2868900,,0.0001,0.00000001,1,BTC
ARN,308200,,0.01,0.00000001,1,ETH
GVT,381100,,0.0001,0.0000001,0.01,BTC
GVT,68500,,0.01,0.000001,0.01,ETH
CDT,38110800,,0.0001,0.00000001,1,BTC
CDT,12174400,,0.01,0.00000001,1,ETH
GXS,497300,,0.0001,0.00000001,1,BTC
GXS,109600,,0.01,0.000001,0.01,ETH
NEO,236900,,10,0.001,0.001,USDT
NEO,24600,,0.1,0.0001,0.01,BNB
POE,69079600,,0.0001,0.00000001,1,BTC
POE,36484600,,0.01,0.00000001,1,ETH
QSP,9955800,,0.0001,0.00000001,1,BTC
QSP,5732800,,0.01,0.00000001,1,ETH
QSP,1515800,,0.1,0.0000001,1,BNB
BTS,13082700,,0.0001,0.00000001,1,BTC
BTS,1691500,,0.01,0.00000001,1,ETH
BTS,803100,,0.1,0.000001,1,BNB
XZC,62700,,0.0001,0.0000001,0.01,BTC
XZC,10000,,0.01,0.000001,0.01,ETH
XZC,2100,,0.1,0.0001,0.01,BNB
LSK,596600,,0.0001,0.0000001,0.01,BTC
LSK,115400,,0.01,0.000001,0.01,ETH
LSK,20100,,0.1,0.00001,0.1,BNB
TNT,15082300,,0.0001,0.00000001,1,BTC
TNT,6646900,,0.01,0.00000001,1,ETH
FUEL,60427700,,0.0001,0.00000001,1,BTC
MANA,19397300,,0.0001,0.00000001,1,BTC
MANA,6197900,,0.01,0.00000001,1,ETH
BCD,266700,,0.0001,0.00000001,1,BTC
BCD,118100,,0.01,0.00001,0.001,ETH
DGD,30900,,0.0001,0.000001,0.001,BTC
DGD,9000,,0.01,0.00001,0.001,ETH
IOTA,417500,,0.1,0.00001,0.1,BNB
ADX,5864300,,0.0001,0.00000001,1,BTC
ADX,524300,,0.01,0.0000001,1,ETH
ADX,218000,,0.1,0.000001,1,BNB
ADA,62929600,,0.0001,0.00000001,1,BTC
ADA,13623000,,0.01,0.00000001,1,ETH
PPT,503700,,0.0001,0.00000001,1,BTC
PPT,110400,,0.01,0.000001,0.01,ETH
CMT,25294300,,0.0001,0.00000001,1,BTC
CMT,7780500,,0.01,0.00000001,1,ETH
CMT,661400,,0.1,0.000001,1,BNB
XLM,15465700,,0.0001,0.00000001,1,BTC
XLM,10947200,,0.01,0.00000001,1,ETH
XLM,1214300,,0.1,0.000001,1,BNB
CND,27678400,,0.0001,0.00000001,1,BTC
CND,7973800,,0.01,0.00000001,1,ETH
CND,2682800,,0.1,0.0000001,1,BNB
LEND,66709800,,0.0001,0.00000001,1,BTC
LEND,15463700,,0.01,0.00000001,1,ETH
WABI,3858000,,0.0001,0.00000001,1,BTC
WABI,647200,,0.01,0.00000001,1,ETH
WABI,280800,,0.1,0.000001,1,BNB
LTC,5200,,0.01,0.00001,0.001,ETH
LTC,55700,,10,0.01,0.00001,USDT
LTC,18600,,0.1,0.001,0.001,BNB
TNB,61109700,,0.0001,0.00000001,1,BTC
TNB,38128500,,0.01,0.00000001,1,ETH
WAVES,772500,,0.0001,0.0000001,0.01,BTC
WAVES,82200,,0.01,0.000001,0.01,ETH
WAVES,22400,,0.1,0.00001,0.1,BNB
GTO,9729600,,0.0001,0.00000001,1,BTC
GTO,7988100,,0.01,0.00000001,1,ETH
GTO,2202000,,0.1,0.000001,1,BNB
ICX,2926800,,0.0001,0.00000001,1,BTC
ICX,1520800,,0.01,0.000001,0.01,ETH
ICX,172100,,0.1,0.00001,0.1,BNB
OST,16300200,,0.0001,0.00000001,1,BTC
OST,10247300,,0.01,0.00000001,1,ETH
OST,993700,,0.1,0.0000001,1,BNB
ELF,4822300,,0.0001,0.00000001,1,BTC
ELF,2012400,,0.01,0.00000001,1,ETH
AION,2889700,,0.0001,0.00000001,1,BTC
AION,2146600,,0.01,0.000001,0.01,ETH
AION,191400,,0.1,0.000001,1,BNB
NEBL,377100,,0.0001,0.00000001,1,BTC
NEBL,71000,,0.01,0.000001,0.01,ETH
NEBL,36800,,0.1,0.00001,0.1,BNB
BRD,2201500,,0.0001,0.00000001,1,BTC
BRD,237500,,0.01,0.0000001,1,ETH
BRD,73200,,0.1,0.00001,0.1,BNB
MCO,12300,,0.1,0.00001,0.1,BNB
EDO,1514800,,0.0001,0.00000001,1,BTC
